timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1739912400,Feb 18 2025 - 9:00pm,complete,N/A,Tocantinópolis,Atlético Mineiro,N/A,N/A,0.00,0.00,0.00,1.63,0,2,2,0,0,0,"","88,90'6",2,11,0,0,2,0,0,0,0,2,6,19,2,8,4,11,14,4,25,75,0.00,0.00,0.79,2.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,15.00,7.20,1.15,1.15,1.66,2.15,3.60,2.37,1.50,Estádio João Ribeiro
1739925000,Feb 19 2025 - 12:30am,complete,N/A,União Rondonópolis,Vasco da Gama,N/A,N/A,0.00,0.00,0.00,1.50,0,3,3,0,0,0,"","49,82,90",0,8,1,0,1,0,0,1,1,0,1,22,0,11,1,11,13,7,23,77,0.00,0.00,0.20,3.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.60,4.40,1.38,1.25,1.77,2.80,5.00,2.05,1.66,N/A
1739989800,Feb 19 2025 - 6:30pm,complete,N/A,Tuna Luso,Sampaio Corrêa,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"85","",1,6,6,0,3,0,2,4,1,2,20,9,6,2,14,7,-1,-1,50,50,0.00,0.00,1.97,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.06,3.20,2.32,1.42,2.50,4.90,9.50,1.95,1.70,Estádio Francisco Vasques
1740002400,Feb 19 2025 - 10:00pm,complete,N/A,Santa Cruz de Natal RN,Náutico,N/A,N/A,0.00,0.00,0.00,1.50,0,4,4,1,0,1,"","27,69,79,87",2,5,2,0,2,0,1,1,2,0,10,13,5,6,5,7,-1,-1,50,50,0.00,0.00,1.37,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.41,1.89,1.28,1.85,3.10,6.50,1.67,2.00,Estádio Jóse do Rego Maciel
1740004200,Feb 19 2025 - 10:30pm,complete,N/A,Boavista,CSA,N/A,N/A,0.00,0.00,0.00,1.83,0,2,2,2,0,2,"","24,37",5,4,3,0,3,0,0,3,1,2,15,15,6,8,9,7,-1,-1,50,50,0.00,0.00,2.00,1.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.93,3.09,2.47,1.41,2.19,4.00,8.25,1.93,1.75,N/A
1740004200,Feb 19 2025 - 10:30pm,complete,N/A,São Raimundo RR,Grêmio,N/A,N/A,0.00,0.00,1.00,0.75,1,1,2,0,0,0,"66","90'3",5,11,0,0,3,1,0,0,1,3,12,14,6,5,6,9,-1,-1,50,50,0.00,0.00,1.64,2.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,13.00,5.80,1.22,1.14,1.45,2.25,3.50,1.88,1.82,Estádio Flamarion Vasconcelos
1740006000,Feb 19 2025 - 11:00pm,complete,N/A,Porto Velho,Cuiabá,N/A,N/A,0.00,0.00,0.50,1.00,0,0,0,0,0,0,"","",1,4,3,0,0,0,0,3,0,0,6,5,4,2,2,3,-1,-1,51,49,0.00,0.00,0.88,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,3.10,1.80,1.28,1.85,3.72,7.90,1.94,1.77,Estádio Aluízio Ferreira de Oliveira
1740006000,Feb 19 2025 - 11:00pm,complete,N/A,Capital Brasilia,Portuguesa RJ,N/A,N/A,0.00,0.00,1.75,1.00,0,0,0,0,0,0,"","",4,3,2,0,4,1,0,2,2,3,11,11,3,2,8,9,-1,-1,66,34,0.00,0.00,1.40,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.16,2.22,1.42,2.10,4.20,9.00,1.85,1.80,N/A
1740006000,Feb 19 2025 - 11:00pm,complete,N/A,Sergipe,Ceará,N/A,N/A,0.00,0.00,0.00,1.00,0,2,2,1,0,1,"","17,63",1,6,3,0,0,0,1,2,0,0,3,18,2,5,1,13,-1,-1,50,50,0.00,0.00,0.46,1.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.80,4.10,1.54,1.29,1.87,3.10,6.00,2.05,1.70,Estádio Estadual Lourival Baptista
1740007800,Feb 19 2025 - 11:30pm,complete,N/A,Trem,Brusque,N/A,N/A,0.00,0.00,0.00,1.75,0,2,2,1,0,1,"","41,90'2",1,4,1,0,3,0,0,1,1,2,4,22,4,9,0,13,-1,-1,45,55,0.00,0.00,0.81,2.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.30,1.75,1.34,2.19,4.00,8.00,1.83,1.81,Estádio Milton Corrêa
