team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
EC Vitória,Vitória,2025,Brazil,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,0,0,37,1,2,-1,3,2,1,0,1,2,0,-2,1,180,0,90,90,45,0,1,0,1,0,0,0,1,1,0,1,0,1,15,6,9,5,1,4,50,50,50,25,12,13,11,5,6,14,7,7,0,0,0,0,0,0,2,2,0,-2,-2,0,0,0,0,1,0,1,1,1,0,0.5,0,1,1.5,2,1,0.5,0,1,1,2,0,1,2,0,0,0,0,1,2,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,0,0,1,1,1,1,0,1,1,1,1,1,100,50,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,50,100,100,100,100,0,0,100,100,100,100,0,100,100,100,100,100,1,1,0,1,1,0,0,0,0,50,50,0,100,100,0,0,0,0,50,0,100,-100,50,0,100,0,0,0,50,100,0,50,0,100,1,0,1,50,0,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,0,100,50,100,0,7.50,6.00,9.00,2.5,1,4.00,100,100,100,0,0,0,0,0,1.97,1.92,2.01,0.88,0.63,1.13,50,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,50,100,0,0
SC do Recife,Sport Recife,2025,Brazil,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,4,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,13,0,13,0,0,0,73,0,73,22,0,22,6,0,6,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,13.00,0.00,13.00,0,0,0.00,100,100,100,100,100,100,100,100,1.21,0.00,2.21,0.00,0.00,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100
Grêmio FB Porto Alegrense,Grêmio,2025,Brazil,4,1,3,0,0,0,0,3,1,2,1,0,1,0.75,1,0.67,0,6,6,38,6,7,-1,13,0,13,0,6,0,7,0,-1,60,0,45,51,0,39,1,1,0,3,0,3,1,1,0,0,0,0,36,12,24,15,4,11,52,75,44,54,20,34,27,8,19,27,12,15,43,14,29,3,0,3,2,0,2,1,0,1,1,0,1,3,1,2,0,0,0,1.5,1,1.67,3.25,0,4.33,1.5,0,2,1.75,0,2.33,1.25,0,1.67,0.75,0,1,0.5,0,0.67,3,3,2,2,2,1,0,0,0,0,0,0,3,3,2,2,2,1,1,1,2,2,2,3,1,1,1,1,1,1,0,0,1,1,1,2,75,75,50,50,50,25,0,0,0,0,0,0,100,100,67,67,67,33,25,25,50,50,50,75,100,100,100,100,100,100,0,0,33,33,33,67,2,2,1,0,0,0,2,2,1,50,50,25,0,0,0,67,67,33,0,0,0,0,25,100,0,75,0,100,25,100,0,0,0,0,2,1,1,50,100,33,2,1,1,50,100,33,2,0,2,50,0,67,25,0,33,75,100,67,0,0,0,9.00,12.00,8.00,3.75,4,3.67,75,75,75,75,75,75,75,50,1.83,2.42,1.63,1.58,0.91,1.80,50,0,2,1,0,0,0,0,1,2,1,1,0,0,1,0,1,0,3,75,100,67,25,0,33,50
Fluminense FC,Fluminense,2025,Brazil,10,4,6,0,7,3,4,1,1,0,2,0,2,2.2,2.5,2,0,7,7,2,22,7,15,29,6,23,5,17,1,6,4,11,41,72,32,129,360,90,4,3,1,5,1,4,1,0,1,8,4,4,62,20,42,18,12,6,52,54,51,154,56,98,58,20,38,96,36,60,124,61,63,11,1,10,2,0,2,9,1,8,6,1,5,4,3,1,0,0,0,2.2,1.5,2.67,2.9,1.5,3.83,2.2,1.25,2.83,0.7,0.25,1,1.3,0.25,2,1.1,0.25,1.67,0.2,0,0.33,10,7,5,2,2,1,4,2,0,0,0,0,6,5,5,2,2,1,0,3,5,8,8,9,0,2,4,4,4,4,0,1,1,4,4,5,100,70,50,20,20,10,100,50,0,0,0,0,100,83,83,33,33,17,0,30,50,80,80,90,0,50,100,100,100,100,0,17,17,67,67,83,6,3,3,1,0,0,5,3,3,60,30,30,25,0,0,83,50,50,70,75,67,11,40,75,17,50,25,67,10,0,17,80,100,67,8,4,4,80,100,67,4,3,1,40,75,17,2,0,2,20,0,33,60,25,83,40,75,17,0,0,0,6.20,5.00,7.00,1.8,3,1.00,80,80,80,80,70,50,30,30,1.84,1.69,1.95,1.03,0.99,1.07,90,1,2,1,3,5,1,3,3,3,0,0,0,2,1,0,2,0,2,10,25,0,20,0,33,20
CA Mineiro,Atlético Mineiro,2025,Brazil,8,4,4,0,4,2,2,1,0,1,3,2,1,1.63,1.5,1.75,0,10,10,6,13,8,5,21,12,9,8,5,4,4,4,1,55,45,72,90,90,90,3,1,2,2,1,1,3,2,1,4,2,2,57,24,33,17,7,10,61,62,60,131,66,65,48,24,24,83,42,41,90,55,35,4,3,1,3,1,2,1,2,-1,2,2,0,4,1,3,2,1,1,1.25,1.75,0.75,2.63,3,2.25,1.63,2,1.25,1,1,1,0.88,1,0.75,0.5,0.75,0.25,0.38,0.25,0.5,8,6,3,3,1,0,4,3,2,2,1,0,4,3,1,1,0,0,0,2,5,5,7,8,0,1,2,2,3,4,0,1,3,3,4,4,100,75,38,38,13,0,100,75,50,50,25,0,100,75,25,25,0,0,0,25,62,62,87,100,0,25,50,50,75,100,0,25,75,75,100,100,5,2,0,3,1,0,2,1,0,63,25,0,75,25,0,50,25,0,50,50,50,0,38,25,50,25,25,25,38,50,25,50,50,50,5,3,2,63,75,50,5,2,3,63,50,75,1,0,1,13,0,25,25,50,0,50,25,75,25,25,25,7.13,6.00,8.25,2.13,1.75,2.50,100,88,63,63,63,50,50,25,1.91,1.95,1.88,1.25,1.15,1.35,50,0,1,0,1,3,1,3,1,3,1,1,1,0,2,2,1,0,0,13,0,25,38,50,25,13
CA Paranaense,Atlético PR,2025,Brazil,8,4,4,0,4,3,1,1,0,1,3,1,2,1.63,2.25,1,0,11,11,7,8,6,2,14,7,7,5,3,2,4,3,-1,90,72,120,120,180,90,4,2,2,2,1,1,3,1,2,4,3,1,50,36,14,14,9,5,50,54,46,112,79,33,45,32,13,67,47,20,97,56,41,4,3,1,2,0,2,2,3,-1,3,2,1,3,2,1,2,0,2,1.5,2,1,1.75,1.75,1.75,1,1.25,0.75,0.75,0.5,1,0.75,0.75,0.75,0.5,0.75,0.25,0.25,0,0.5,7,4,2,1,0,0,4,1,1,1,0,0,3,3,1,0,0,0,1,4,6,7,8,8,0,3,3,3,4,4,1,1,3,4,4,4,88,50,25,13,0,0,100,25,25,25,0,0,75,75,25,0,0,0,12,50,75,87,100,100,0,75,75,75,100,100,25,25,75,100,100,100,5,1,0,2,1,0,3,0,0,63,13,0,50,25,0,75,0,0,50,75,25,29,50,50,50,25,25,25,38,25,50,50,75,25,6,4,2,75,100,50,5,2,3,63,50,75,0,0,0,0,0,0,38,50,25,38,50,25,25,0,50,6.25,9.00,3.50,2.33,3,1.67,63,63,50,50,38,25,25,25,1.65,2.20,1.09,0.97,0.87,1.06,25,2,1,0,0,1,0,1,2,1,0,0,0,1,1,2,1,1,0,13,0,25,38,25,50,13
CR Vasco da Gama,Vasco da Gama,2025,Brazil,12,5,7,0,4,2,2,6,2,4,2,1,1,1.5,1.6,1.43,0,13,13,4,16,9,7,25,14,11,8,8,6,3,2,5,68,56,79,120,75,209,4,0,4,7,5,2,3,0,3,6,2,4,57,22,35,22,10,12,58,60,57,191,89,102,66,28,38,125,61,64,162,63,99,11,6,5,5,3,2,6,3,3,4,2,2,6,2,4,2,1,1,1.5,1.6,1.43,2.08,2.8,1.57,1.33,1.6,1.14,0.75,1.2,0.43,1.33,1.8,1,0.92,1.2,0.71,0.42,0.6,0.29,10,9,5,1,0,0,5,5,3,1,0,0,5,4,2,0,0,0,2,3,7,11,12,12,0,0,2,4,5,5,2,3,5,7,7,7,83,75,42,8,0,0,100,100,60,20,0,0,71,57,29,0,0,0,17,25,58,92,100,100,0,0,40,80,100,100,29,43,71,100,100,100,9,5,2,5,3,1,4,2,1,75,42,17,100,60,20,57,29,14,33,40,29,-20,33,0,57,58,100,29,25,0,43,50,40,57,7,2,5,58,40,71,5,1,4,42,20,57,3,2,1,25,40,14,33,40,29,50,40,57,17,20,14,4.75,4.40,5.00,1.83,2,1.71,50,42,33,33,25,17,17,8,1.82,2.04,1.70,1.01,0.86,1.10,42,1,3,2,2,5,0,0,0,3,1,1,1,1,2,0,1,1,1,50,40,57,17,20,14,0
Coritiba FBC,Coritiba,2025,Brazil,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,15,15,60,2,2,0,4,0,4,0,2,0,2,0,0,45,0,45,45,0,45,0,0,0,1,0,1,0,0,0,0,0,0,6,0,6,0,0,0,50,0,50,18,0,18,4,0,4,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,0.00,6.00,0,0,0.00,100,100,100,100,0,0,0,0,0.88,0.00,1.88,0.36,0.00,1.36,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
Associacao Atletica Ponte Preta,Ponte Preta,2025,Brazil,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,16,75,1,2,-1,3,0,3,0,1,0,2,0,-1,90,0,90,45,0,45,0,0,0,1,0,1,0,0,0,1,0,1,11,0,11,0,0,0,50,0,50,20,0,20,3,0,3,17,0,17,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,0,3,1,0,1,2,0,2,2,0,2,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,1,1,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,100,0,100,0,0,0,11.00,0.00,11.00,0,0,0.00,100,100,100,100,100,100,100,0,1.04,0.00,2.04,0.00,0.00,0.65,200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,0,100,0
AC Goianiense,Atlético GO,2025,Brazil,2,1,1,0,0,0,0,2,1,1,0,0,0,1,1,1,0,17,17,43,2,2,0,4,2,2,1,1,1,1,0,0,90,90,90,90,90,90,0,0,0,2,1,1,0,0,0,1,0,1,10,6,4,4,1,3,55,60,50,20,15,5,2,1,1,18,14,4,20,20,0,1,0,1,1,1,0,0,-1,1,1,0,1,0,0,0,1,1,0,1.5,0,3,2,2,2,1,1,1,1,1,1,1,1,1,0.5,0,1,0.5,1,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,2,0,0,1,0,0,1,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,0,0,0,50,0,100,0,0,0,50,100,0,5.00,6.00,4.00,2,1,3.00,100,50,0,0,0,0,0,0,1.05,1.51,0.58,1.32,1.06,1.58,100,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,100,100,100,0,0,0,0
