team_name;common_name;season;country;matches_played;matches_played_home;matches_played_away;suspended_matches;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;points_per_game;points_per_game_home;points_per_game_away;league_position;league_position_home;league_position_away;performance_rank;goals_scored;goals_conceded;goal_difference;total_goal_count;total_goal_count_home;total_goal_count_away;goals_scored_home;goals_scored_away;goals_conceded_home;goals_conceded_away;goal_difference_home;goal_difference_away;minutes_per_goal_scored;minutes_per_goal_scored_home;minutes_per_goal_scored_away;minutes_per_goal_conceded;minutes_per_goal_conceded_home;minutes_per_goal_conceded_away;clean_sheets;clean_sheets_home;clean_sheets_away;btts_count;btts_count_home;btts_count_away;fts_count;fts_count_home;fts_count_away;first_team_to_score_count;first_team_to_score_count_home;first_team_to_score_count_away;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away;average_possession;average_possession_home;average_possession_away;shots;shots_home;shots_away;shots_on_target;shots_on_target_home;shots_on_target_away;shots_off_target;shots_off_target_home;shots_off_target_away;fouls;fouls_home;fouls_away;goals_scored_half_time;goals_scored_half_time_home;goals_scored_half_time_away;goals_conceded_half_time;goals_conceded_half_time_home;goals_conceded_half_time_away;goal_difference_half_time;goal_difference_half_time_home;goal_difference_half_time_away;leading_at_half_time;leading_at_half_time_home;leading_at_half_time_away;draw_at_half_time;draw_at_half_time_home;draw_at_half_time_away;losing_at_half_time;losing_at_half_time_home;losing_at_half_time_away;points_per_game_half_time;points_per_game_half_time_home;points_per_game_half_time_away;average_total_goals_per_match;average_total_goals_per_match_home;average_total_goals_per_match_away;goals_scored_per_match;goals_scored_per_match_home;goals_scored_per_match_away;goals_conceded_per_match;goals_conceded_per_match_home;goals_conceded_per_match_away;total_goals_per_match_half_time;total_goals_per_match_half_time_home;total_goals_per_match_half_time_away;goals_scored_per_match_half_time;goals_scored_per_match_half_time_home;goals_scored_per_match_half_time_away;goals_conceded_per_match_half_time;goals_conceded_per_match_half_time_home;goals_conceded_per_match_half_time_away;over05_count;over15_count;over25_count;over35_count;over45_count;over55_count;over05_count_home;over15_count_home;over25_count_home;over35_count_home;over45_count_home;over55_count_home;over05_count_away;over15_count_away;over25_count_away;over35_count_away;over45_count_away;over55_count_away;under05_count;under15_count;under25_count;under35_count;under45_count;under55_count;under05_count_home;under15_count_home;under25_count_home;under35_count_home;under45_count_home;under55_count_home;under05_count_away;under15_count_away;under25_count_away;under35_count_away;under45_count_away;under55_count_away;over05_percentage;over15_percentage;over25_percentage;over35_percentage;over45_percentage;over55_percentage;over05_percentage_home;over15_percentage_home;over25_percentage_home;over35_percentage_home;over45_percentage_home;over55_percentage_home;over05_percentage_away;over15_percentage_away;over25_percentage_away;over35_percentage_away;over45_percentage_away;over55_percentage_away;under05_percentage;under15_percentage;under25_percentage;under35_percentage;under45_percentage;under55_percentage;under05_percentage_home;under15_percentage_home;under25_percentage_home;under35_percentage_home;under45_percentage_home;under55_percentage_home;under05_percentage_away;under15_percentage_away;under25_percentage_away;under35_percentage_away;under45_percentage_away;under55_percentage_away;over05_count_half_time;over15_count_half_time;over25_count_half_time;over05_count_half_time_home;over15_count_half_time_home;over25_count_half_time_home;over05_count_half_time_away;over15_count_half_time_away;over25_count_half_time_away;over05_half_time_percentage;over15_half_time_percentage;over25_half_time_percentage;over05_half_time_percentage_home;over15_half_time_percentage_home;over25_half_time_percentage_home;over05_half_time_percentage_away;over15_half_time_percentage_away;over25_half_time_percentage_away;win_percentage;win_percentage_home;win_percentage_away;home_advantage_percentage;clean_sheet_percentage;clean_sheet_percentage_home;clean_sheet_percentage_away;btts_percentage;btts_percentage_home;btts_percentage_away;fts_percentage;fts_percentage_home;fts_percentage_away;first_team_to_score_percentage;first_team_to_score_percentage_home;first_team_to_score_percentage_away;clean_sheet_half_time;clean_sheet_half_time_home;clean_sheet_half_time_away;clean_sheet_half_time_percentage;clean_sheet_half_time_percentage_home;clean_sheet_half_time_percentage_away;fts_half_time;fts_half_time_home;fts_half_time_away;fts_half_time_percentage;fts_half_time_percentage_home;fts_half_time_percentage_away;btts_half_time;btts_half_time_home;btts_half_time_away;btts_half_time_percentage;btts_half_time_percentage_home;btts_half_time_percentage_away;leading_at_half_time_percentage;leading_at_half_time_percentage_home;leading_at_half_time_percentage_away;draw_at_half_time_percentage;draw_at_half_time_percentage_home;draw_at_half_time_percentage_away;losing_at_half_time_percentage;losing_at_half_time_percentage_home;losing_at_half_time_percentage_away;corners_per_match;corners_per_match_home;corners_per_match_away;cards_per_match;cards_per_match_home;cards_per_match_away;over65_corners_percentage;over75_corners_percentage;over85_corners_percentage;over95_corners_percentage;over105_corners_percentage;over115_corners_percentage;over125_corners_percentage;over135_corners_percentage;xg_for_avg_overall;xg_for_avg_home;xg_for_avg_away;xg_against_avg_overall;xg_against_avg_home;xg_against_avg_away;prediction_risk;goals_scored_min_0_to_10;goals_scored_min_11_to_20;goals_scored_min_21_to_30;goals_scored_min_31_to_40;goals_scored_min_41_to_50;goals_scored_min_51_to_60;goals_scored_min_61_to_70;goals_scored_min_71_to_80;goals_scored_min_81_to_90;goals_conceded_min_0_to_10;goals_conceded_min_11_to_20;goals_conceded_min_21_to_30;goals_conceded_min_31_to_40;goals_conceded_min_41_to_50;goals_conceded_min_51_to_60;goals_conceded_min_61_to_70;goals_conceded_min_71_to_80;goals_conceded_min_81_to_90;draw_percentage_overall;draw_percentage_home;draw_percentage_away;loss_percentage_ovearll;loss_percentage_home;loss_percentage_away;over145_corners_percentage
EC Vitória;Vitória;2025;Brazil;38;19;19;0;11;9;2;12;6;6;15;4;11;1.18;1.74;0.63;15;10;18;15;35;52;-17;87;36;51;21;14;15;37;6;-23;98;81;122;66;114;46;12;8;4;16;8;8;15;5;10;14;11;3;166;101;65;119;59;60;41;41;41;440;260;180;148;82;66;292;178;114;565;284;281;15;8;7;22;5;17;-7;3;-10;10;7;3;15;8;7;13;4;9;1.18;1.53;0.84;2.29;1.89;2.68;0.92;1.11;0.74;1.37;0.79;1.95;0.97;0.68;1.26;0.39;0.42;0.37;0.58;0.26;0.89;33;22;15;10;2;2;17;9;7;3;0;0;16;13;8;7;2;2;5;16;23;28;36;36;2;10;12;16;19;19;3;6;11;12;17;17;87;58;39;26;5;5;89;47;37;16;0;0;84;68;42;37;11;11;13;42;61;74;95;95;11;53;63;84;100;100;16;32;58;63;89;89;25;7;4;12;1;0;13;6;4;66;18;11;63;5;0;68;32;21;29;47;11;32;32;42;21;42;42;42;39;26;53;37;58;16;21;14;7;55;74;37;25;11;14;66;58;74;5;1;4;13;5;21;26;37;16;39;42;37;34;21;47;4.37;5.32;3.42;3.13;3.11;3.16;84;71;55;45;32;18;16;8;1.28;1.47;1.08;1.67;1.50;1.84;50;2;4;3;5;5;3;6;3;4;8;3;3;4;8;7;6;0;13;32;32;32;39;21;58;8
Santos FC Sao Paulo;Santos;2025;Brazil;38;19;19;0;12;8;4;11;6;5;15;5;10;1.24;1.58;0.89;13;15;8;13;45;50;-5;95;43;52;24;21;19;31;5;-10;76;71;81;68;90;55;10;8;2;18;8;10;12;5;7;13;9;4;182;115;67;97;48;49;50;51;48;503;306;197;154;91;63;349;215;134;522;261;261;17;11;6;17;6;11;0;5;-5;9;6;3;15;8;7;14;5;9;1.11;1.37;0.84;2.5;2.26;2.74;1.18;1.26;1.11;1.32;1;1.63;0.89;0.89;0.89;0.45;0.58;0.32;0.45;0.32;0.58;36;27;19;9;3;1;17;12;8;4;1;1;19;15;11;5;2;0;2;11;19;29;35;37;2;7;11;15;18;18;0;4;8;14;17;19;95;71;50;24;8;3;89;63;42;21;5;5;100;79;58;26;11;0;5;29;50;76;92;97;11;37;58;79;95;95;0;21;42;74;89;100;23;8;3;11;5;1;12;3;2;61;21;8;58;26;5;63;16;11;32;42;21;16;26;42;11;47;42;53;32;26;37;34;47;21;23;13;10;61;68;53;27;13;14;71;68;74;3;1;2;8;5;11;24;32;16;39;42;37;37;26;47;4.79;6.05;3.53;2.55;2.53;2.58;84;76;71;57;45;34;18;13;1.42;1.69;1.15;1.48;1.23;1.73;71;2;2;7;4;3;6;5;4;12;5;4;2;3;3;10;8;8;7;29;32;26;39;26;53;13
CR Flamengo;Flamengo;2025;Brazil;38;19;19;0;23;14;9;10;5;5;5;0;5;2.08;2.47;1.68;1;1;2;1;78;27;51;105;54;51;46;32;8;19;38;13;44;37;54;127;214;90;18;13;5;17;6;11;6;2;4;24;16;8;232;124;108;87;38;49;62;62;62;584;321;263;206;117;89;378;204;174;514;264;250;29;18;11;13;3;10;16;15;1;14;9;5;19;9;10;5;1;4;1.61;1.89;1.32;2.76;2.84;2.68;2.05;2.42;1.68;0.71;0.42;1;1.11;1.11;1.11;0.76;0.95;0.58;0.34;0.16;0.53;35;28;19;10;7;4;17;13;9;6;5;2;18;15;10;4;2;2;3;10;19;28;31;34;2;6;10;13;14;17;1;4;9;15;17;17;92;74;50;26;18;11;89;68;47;32;26;11;95;79;53;21;11;11;8;26;50;74;82;89;11;32;53;68;74;89;5;21;47;79;89;89;24;11;5;11;5;4;13;6;1;63;29;13;58;26;21;68;32;5;61;74;47;30;47;68;26;45;32;58;16;11;21;63;84;42;27;16;11;71;84;58;19;9;10;50;47;53;6;2;4;16;11;21;37;47;26;50;47;53;13;5;21;6.11;6.53;5.68;2.29;2;2.58;74;68;55;50;37;28;26;13;1.75;1.90;1.61;1.04;0.93;1.15;79;9;5;2;9;8;11;12;10;12;1;4;3;3;4;0;2;3;7;26;26;26;13;0;26;13
Cruzeiro EC;Cruzeiro;2025;Brazil;38;19;19;0;19;13;6;13;4;9;6;2;4;1.84;2.26;1.42;3;5;3;3;55;31;24;86;49;37;35;20;14;17;21;3;62;49;86;110;122;101;17;8;9;17;11;6;10;2;8;22;15;7;221;126;95;112;53;59;48;48;47;512;284;228;182;106;76;330;178;152;531;271;260;31;19;12;15;7;8;16;12;4;16;10;6;16;8;8;6;1;5;1.68;2;1.37;2.26;2.58;1.95;1.45;1.84;1.05;0.82;0.74;0.89;1.21;1.37;1.05;0.82;1;0.63;0.39;0.37;0.42;32;27;18;6;2;1;17;14;13;4;1;0;15;13;5;2;1;1;6;11;20;32;36;37;2;5;6;15;18;19;4;6;14;17;18;18;84;71;47;16;5;3;89;74;68;21;5;0;79;68;26;11;5;5;16;29;53;84;95;97;11;26;32;79;95;100;21;32;74;89;95;95;26;15;4;15;8;2;11;7;2;68;39;11;79;42;11;58;37;11;50;68;32;19;45;42;47;45;58;32;26;11;42;58;79;37;26;12;14;68;63;74;17;5;12;45;26;63;7;6;1;18;32;5;42;53;32;42;42;42;16;5;26;5.82;6.63;5.00;2.95;2.79;3.11;87;87;79;66;63;42;26;13;1.47;1.64;1.30;1.38;1.16;1.60;50;6;5;7;4;12;6;6;5;4;2;2;4;4;3;7;5;1;3;34;21;47;16;11;21;11
SC do Recife;Sport Recife;2025;Brazil;38;19;19;0;2;1;1;11;7;4;25;11;14;0.45;0.53;0.37;20;20;20;20;28;75;-47;103;56;47;17;11;39;36;-22;-25;122;101;155;46;44;48;5;3;2;19;11;8;17;7;10;11;6;5;213;105;108;96;52;44;46;45;47;470;228;242;141;71;70;329;157;172;518;250;268;14;9;5;29;15;14;-15;-6;-9;8;4;4;14;9;5;16;6;10;1;1.11;0.89;2.71;2.95;2.47;0.74;0.89;0.58;1.97;2.05;1.89;1.13;1.26;1;0.37;0.47;0.26;0.76;0.79;0.74;35;29;20;13;4;2;17;14;11;9;3;2;18;15;9;4;1;0;3;9;18;25;34;36;2;5;8;10;16;17;1;4;10;15;18;19;92;76;53;34;11;5;89;74;58;47;16;11;95;79;47;21;5;0;8;24;47;66;89;95;11;26;42;53;84;89;5;21;53;79;95;100;27;11;5;13;7;4;14;4;1;71;29;13;68;37;21;74;21;5;5;5;5;8;13;16;11;50;58;42;45;37;53;29;32;26;18;10;8;47;53;42;25;10;15;66;53;79;6;5;1;16;26;5;21;21;21;37;47;26;42;32;53;5.61;5.53;5.68;2.53;2.74;2.32;92;89;79;55;47;42;28;21;1.32;1.32;1.31;1.74;1.62;1.87;79;3;3;4;2;4;2;2;2;6;4;6;5;7;14;11;12;4;12;29;37;21;66;58;74;16
Botafogo FR;Botafogo;2025;Brazil;38;19;19;0;17;11;6;12;5;7;9;3;6;1.66;2;1.32;6;7;4;6;58;38;20;96;63;33;39;19;24;14;15;5;59;44;90;90;71;122;15;6;9;14;10;4;14;4;10;18;12;6;184;106;78;101;47;54;52;53;51;543;311;232;191;119;72;352;192;160;558;266;292;25;21;4;19;11;8;6;10;-4;13;11;2;13;3;10;12;5;7;1.37;1.89;0.84;2.53;3.32;1.74;1.53;2.05;1;1;1.26;0.74;1.16;1.68;0.63;0.66;1.11;0.21;0.5;0.58;0.42;33;25;16;13;7;2;18;16;12;9;6;2;15;9;4;4;1;0;5;13;22;25;31;36;1;3;7;10;13;17;4;10;15;15;18;19;87;66;42;34;18;5;95;84;63;47;32;11;79;47;21;21;5;0;13;34;58;66;82;95;5;16;37;53;68;89;21;53;79;79;95;100;27;11;5;17;9;5;10;2;0;71;29;13;89;47;26;53;11;0;45;58;32;4;39;32;47;37;53;21;37;21;53;47;63;32;22;11;11;58;58;58;21;5;16;55;26;84;6;5;1;16;26;5;34;58;11;34;16;53;32;26;37;4.84;5.58;4.11;2.66;2.47;2.84;82;79;61;50;37;18;11;5;1.54;1.77;1.31;1.28;1.19;1.37;55;3;4;5;7;11;6;3;6;13;4;4;5;3;8;4;3;1;6;32;26;37;24;16;32;0
Grêmio FB Porto Alegrense;Grêmio;2025;Brazil;38;19;19;0;13;9;4;10;5;5;15;5;10;1.29;1.68;0.89;9;11;9;9;47;50;-3;97;41;56;24;23;17;33;7;-10;73;71;74;68;101;52;7;5;2;21;10;11;11;5;6;16;11;5;153;81;72;111;51;60;45;45;45;466;270;196;171;100;71;295;170;125;499;239;260;22;10;12;23;7;16;-1;3;-4;11;6;5;15;9;6;12;4;8;1.26;1.42;1.11;2.55;2.16;2.95;1.24;1.26;1.21;1.32;0.89;1.74;1.18;0.89;1.47;0.58;0.53;0.63;0.61;0.37;0.84;37;29;15;11;5;0;18;13;6;3;1;0;19;16;9;8;4;0;1;9;23;27;33;38;1;6;13;16;18;19;0;3;10;11;15;19;97;76;39;29;13;0;95;68;32;16;5;0;100;84;47;42;21;0;3;24;61;71;87;100;5;32;68;84;95;100;0;16;53;58;79;100;27;13;4;12;4;1;15;9;3;71;34;11;63;21;5;79;47;16;34;47;21;18;18;26;11;55;53;58;29;26;32;42;58;26;20;12;8;53;63;42;23;11;12;61;58;63;6;3;3;16;16;16;29;32;26;39;47;32;32;21;42;4.03;4.26;3.79;2.92;2.68;3.16;87;79;57;45;28;24;16;8;1.34;1.53;1.14;1.60;1.35;1.85;58;0;5;3;8;9;5;6;2;9;6;4;6;3;6;6;5;5;9;26;26;26;39;26;53;5
Fluminense FC;Fluminense;2025;Brazil;38;19;19;0;19;15;4;7;1;6;12;3;9;1.68;2.42;0.95;5;2;6;5;50;39;11;89;42;47;31;19;11;28;20;-9;68;55;90;87;155;61;16;10;6;15;7;8;10;2;8;22;15;7;168;102;66;78;34;44;53;54;52;467;277;190;152;91;61;315;186;129;481;250;231;20;15;5;16;5;11;4;10;-6;13;10;3;15;7;8;10;2;8;1.42;1.95;0.89;2.34;2.21;2.47;1.32;1.63;1;1.03;0.58;1.47;0.95;1.05;0.84;0.53;0.79;0.26;0.42;0.26;0.58;35;26;15;6;4;3;19;12;8;1;1;1;16;14;7;5;3;2;3;12;23;32;34;35;0;7;11;18;18;18;3;5;12;14;16;17;92;68;39;16;11;8;100;63;42;5;5;5;84;74;37;26;16;11;8;32;61;84;89;92;0;37;58;95;95;95;16;26;63;74;84;89;25;8;3;14;5;1;11;3;2;66;21;8;74;26;5;58;16;11;50;79;21;34;42;53;32;39;37;42;26;11;42;58;79;37;26;15;11;68;79;58;21;7;14;55;37;74;4;2;2;11;11;11;34;53;16;39;37;42;26;11;42;4.42;5.37;3.47;2.05;1.79;2.32;84;76;66;47;21;16;11;5;1.36;1.62;1.11;1.19;0.99;1.39;50;3;4;3;7;4;6;6;4;13;3;2;5;5;2;4;1;5;12;18;5;32;32;16;47;5
São Paulo FC;São Paulo;2025;Brazil;38;19;19;0;14;10;4;9;4;5;15;5;10;1.34;1.79;0.89;8;9;12;8;43;47;-4;90;44;46;27;16;17;30;10;-14;80;63;107;73;101;57;12;8;4;15;8;7;14;5;9;18;12;6;181;96;85;99;54;45;52;54;50;449;253;196;139;77;62;310;176;134;547;279;268;23;16;7;16;5;11;7;11;-4;14;10;4;17;7;10;7;2;5;1.55;1.95;1.16;2.37;2.32;2.42;1.13;1.42;0.84;1.24;0.89;1.58;1.03;1.11;0.95;0.61;0.84;0.37;0.42;0.26;0.58;35;27;16;9;2;1;17;14;8;4;1;0;18;13;8;5;1;1;3;11;22;29;36;37;2;5;11;15;18;19;1;6;11;14;18;18;92;71;42;24;5;3;89;74;42;21;5;0;95;68;42;26;5;5;8;29;58;76;95;97;11;26;58;79;95;100;5;32;58;74;95;95;24;12;3;13;7;1;11;5;2;63;32;8;68;37;5;58;26;11;37;53;21;27;32;42;21;39;42;37;37;26;47;47;63;32;26;15;11;68;79;58;21;8;13;55;42;68;5;2;3;13;11;16;37;53;21;45;37;53;18;11;26;4.76;5.05;4.47;2.61;2.84;2.37;95;84;66;55;39;21;18;13;1.28;1.38;1.18;1.44;1.11;1.78;39;6;3;5;3;8;3;2;2;11;5;1;3;5;4;5;9;5;10;24;21;26;39;26;53;8
SE Palmeiras;Palmeiras;2025;Brazil;38;19;19;0;23;12;11;7;5;2;8;2;6;2;2.16;1.84;2;6;1;2;66;33;33;99;46;53;35;31;11;22;24;9;52;49;55;103;155;78;15;10;5;19;7;12;8;6;2;20;11;9;226;112;114;84;36;48;52;56;49;588;329;259;214;118;96;374;211;163;530;260;270;28;16;12;19;3;16;9;13;-4;10;6;4;22;13;9;6;0;6;1.37;1.63;1.11;2.61;2.42;2.79;1.74;1.84;1.63;0.87;0.58;1.16;1.24;1;1.47;0.74;0.84;0.63;0.5;0.16;0.84;34;26;20;10;8;1;15;12;8;5;5;1;19;14;12;5;3;0;4;12;18;28;30;37;4;7;11;14;14;18;0;5;7;14;16;19;89;68;53;26;21;3;79;63;42;26;26;5;100;74;63;26;16;0;11;32;47;74;79;97;21;37;58;74;74;95;0;26;37;74;84;100;24;17;4;9;7;2;15;10;2;63;45;11;47;37;11;79;53;11;61;63;58;20;39;53;26;50;37;63;21;32;11;53;58;47;24;16;8;63;84;42;18;10;8;47;53;42;10;3;7;26;16;37;26;32;21;58;68;47;16;0;32;5.95;5.89;6.00;2.21;1.89;2.53;76;71;61;47;39;32;28;18;1.70;1.90;1.50;1.24;0.93;1.55;68;5;7;8;2;7;10;9;6;12;4;2;3;5;5;1;3;5;5;18;26;11;21;11;32;16
