País;Continente;Confederação;Slug;Competição;Nome completo;Nível;Fórmula;Organizador;2020;2021;2022;2023;2024;2025;;;;;;;;;;
Estados Unidos;América do Norte;Concacaf;mls;MLS;Major League Soccer;1;Pontos corridos;;;;;;;;;;;;;;;;;
Estados Unidos;América do Norte;Concacaf;usl;USL;United Soccer League;2;Pontos corridos;;;;;;;;;;;;;;;;;
Estados Unidos;América do Norte;Concacaf;open_cup;US Open Cup;Lamar Hunt US Open Cup;Copa;Eliminatório;;Cancelada;Cancelada;;;;;;;;;;;;;;
México;América do Norte;Concacaf;liga_mx;Liga MX;;1;Pontos corridos;;;;;;;;;;;;;;;;;
México;América do Norte;Concacaf;ascenso_mx;Ascenso MX;;2;Pontos corridos;;;;;;;;;;;;;;;;;
México;América do Norte;Concacaf;copa_mx;Copa MX;;Copa;Eliminatório;;;Cancelada;Cancelada;Cancelada;Cancelada;Cancelada;;;;;;;;;;
Argentina;América do Sul;Conmebol;primera_division_argentina;Primera División;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
Argentina;América do Sul;Conmebol;primera_b_argentina;Primera B Nacional;;2;Apertura e clausura;;;;;;;;;;;;;;;;;
Argentina;América do Sul;Conmebol;copa_argentina;Copa Argentina;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Bolívia;América do Sul;Conmebol;lfpb;LFPB;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Brasil;América do Sul;Conmebol;brasileiro;Campeonato Brasileiro;;1;Pontos corridos;;;;;;;;;;;;;;;;;
Brasil;América do Sul;Conmebol;serie_b_brasil;Série B;;2;Pontos corridos;;;;;;;;;;;;;;;;;
Brasil;América do Sul;Conmebol;serie_c_brasil;Série C;;3;Pontos corridos;;;;;;;;;;;;;;;;;
Brasil;América do Sul;Conmebol;serie_d_brasil;Série D;;4;Misto;;;;;;;;;;;;;;;;;
Brasil;América do Sul;Conmebol;copa_do_brasil;Copa do Brasil;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Chile;América do Sul;Conmebol;primera_division_chile;Primera División;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
Chile;América do Sul;Conmebol;primera_b_chile;Primera B;;2;Apertura e clausura;;;;;;;;;;;;;;;;;
Chile;América do Sul;Conmebol;copa_chile;Copa Chile;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Colômbia;América do Sul;Conmebol;primera_a_colombia;Primera A;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
Colômbia;América do Sul;Conmebol;primera_b_colombia;Primera B;;2;Apertura e clausura;;;;;;;;;;;;;;;;;
Colômbia;América do Sul;Conmebol;copa_colombia;Copa Colombia;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Equador;América do Sul;Conmebol;serie_a_ecuador;Serie A;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
Equador;América do Sul;Conmebol;serie_b_ecuador;Serie B;;2;Apertura e clausura;;;;;;;;;;;;;;;;;
Equador;América do Sul;Conmebol;copa_ecuador;Copa Ecuador;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Paraguai;América do Sul;Conmebol;division_honor;División de Honor;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
Paraguai;América do Sul;Conmebol;division_intermedia;División Intermedia;;2;Apertura e clausura;;;;;;;;;;;;;;;;;
Paraguai;América do Sul;Conmebol;copa_paraguay;Copa Paraguay;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Peru;América do Sul;Conmebol;primera_division_peru;Primera División;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
Peru;América do Sul;Conmebol;segunda_division_peru;Segunda División;;2;Apertura e clausura;;;;;;;;;;;;;;;;;
Uruguai;América do Sul;Conmebol;primera_division_uruguay;Primera División;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
Uruguai;América do Sul;Conmebol;segunda_division_uruguay;Segunda División;;2;Apertura e clausura;;;;;;;;;;;;;;;;;
Uruguai;América do Sul;Conmebol;copa_uruguay;Copa Uruguay;;Copa;Eliminatório;;;;;;;;;;;;;;;;;
Venezuela;América do Sul;Conmebol;primera_division_venezuela;Primera División;;1;Apertura e clausura;;;;;;;;;;;;;;;;;
